"block_id","section","change_type","original_exact_text","suggested_exact_text","original_paragraph_references","suggested_paragraph_references","previous_exact_anchor","next_exact_anchor","original_revision_id","suggested_revision_id","comparison_method"
"S01-B01","Opening, letter, and contents","changed_or_restructured","Teen Information Packet 2026

If you read one thing, read this

Under Illinois law, you will not be directly billed for medical care related to your assault.

You might be feeling a lot of emotions - anger, sadness, relief - or maybe even just frozen. They’re all valid - and there are practical healthy ways to process feelings. 

You’re the boss of your own body, and you have rights that back this up 

We’re Resilience, and we’ve got your back.\u000B","[Cover]

What you need to know

Information Packet

ourresilience.org

2026

[Summary Graphic]

You are the boss of your own body and care.

You have rights as a teen, we’ll walk you through them.

We maintain absolute confidentiality with you.

You may be feeling a lot of emotions.

They’re all valid and there are practical and healthy ways to process them. \u000BWe’re here to help.

You will not be directly billed for medical care related to your assault.

This is the law in Illinois.

We are an organization called Resilience.

We’ve got your back. 

The only exception to confidentiality is if you are in immediate danger of hurting yourself or others.

[Letter]","Teen Information Packet 2026 [t.0] @ 1-29; Welcome [t.rfcrwwtg2z0n] @ 1-33; Welcome [t.rfcrwwtg2z0n] @ 34-127; Welcome [t.rfcrwwtg2z0n] @ 128-299; Welcome [t.rfcrwwtg2z0n] @ 300-372; Welcome [t.rfcrwwtg2z0n] @ 373-416","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 1-8; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 9-30; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 31-49; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 50-67; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 68-72; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 74-91; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 93-136; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 137-192; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 193-239; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 240-277; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 278-374; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 375-448; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 449-477; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 478-519; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 520-541; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 543-645; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 647-655","[SECTION START]","Hello,","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S01-B02","Opening, letter, and contents","changed_or_restructured","Resilience is an independent, not-for-profit organization that offers sexual assault survivors free and confidential legal advocacy, medical advocacy, and trauma therapy services in English and Spanish. For more information or to request services, you may visit our website at ourresilience.org, email us at info@ourresilience.org, or call us at 312-443-9603. Please note that Resilience is not a hotline and service requests will be responded to during regular business hours, Monday through Friday, 9 a.m. to 5 p.m.","However you choose to heal, we support you and wish you the best.

Sincerely,\u000BResilience

Resilience is an independent, not-for-profit organization that offers sexual assault survivors free and confidential legal advocacy, medical advocacy, and trauma therapy services in English and Spanish.","Welcome [t.rfcrwwtg2z0n] @ 1046-1563","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 1287-1352; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 1353-1374; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 1377-1579","This packet is a resource for you or your loved one(s). It contains information about your legal rights and options, medical treatments you can access, and emotional supports that are available. All survivors have the same rights and protections, but not everything in the packet will necessarily apply to you. Everyone’s experience is different; trust yourself and whatever options feel right for you.","We welcome your feedback on any experiences you have with our advocates in the hospital. If you would like to share your experience, you may do so by completing this brief survey: www.ourresilience.org/clientevaluation.","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S01-B03","Opening, letter, and contents","changed_or_restructured","However you choose to heal, we support you and wish you the best.

Sincerely,

Resilience

What’s Inside

ASSET DETAILS

What

Caregiver Information

Information and resources for caretakers of teen survivors of sexual assault.

About Resilience

Who is Resilience, and what is an advocate?

Navigating Emotions after assault

Understanding your feelings (and what to do with them) after an assault.

Your Hospital Visit

Your legal rights in the ER, information on billing, medications, pregnancy, the evidence collection kit, and more.

The Legal Process

What does the criminal legal process look like, accessing restraining orders,navigating immigration questions, and more.

At school and work

Your rights and how to talk (if you want!) about your assault with your school or workplace.

Housing and DCFS

What your options are if you’re in need of safe housing - and what DCFS is all about.

FAQs and Related Resources

Questions that teens like you ask, and resources to learn more.","Reach out for more information or to request services. Please note that this isn’t a hotline and we will respond to messages Mon through Fri, 9am to 5pm.

ourresilience.org | 312-443-9603 | info@ourresilience.org

In this packet

.

A Note for Caregivers\u000BInformation and resources for caretakers of teen survivors of sexual assault.

About Resilience\u000BWho is Resilience, and what is an advocate?

Navigating Emotions\u000BUnderstanding your feelings (and what to do with them) after an assault.

Hospital Visit\u000BYour legal rights in the ER, information on billing, medications, pregnancy, the evidence collection kit, and more.

Legal Process\u000BWhat does the criminal legal process look like, accessing restraining orders, navigating immigration questions, and more.

School and work\u000BYour rights and how to talk (only if you want!) about your assault with your school or workplace.

Minors Rights, Consent, and Sexual Assault\u000B______________________________.

Housing and DCFS\u000BWhat your options are if you’re in need of safe housing - and what DCFS is all about.

FAQs and Related Resources\u000BQuestions that teens like you ask, and resources to learn more.","Welcome [t.rfcrwwtg2z0n] @ 1784-1849; Welcome [t.rfcrwwtg2z0n] @ 1850-1860; Welcome [t.rfcrwwtg2z0n] @ 1861-1871; Welcome [t.rfcrwwtg2z0n] @ 1873-1886; Welcome [t.rfcrwwtg2z0n] @ 1891-1904; Welcome [t.rfcrwwtg2z0n] @ 1906-1910; Welcome [t.rfcrwwtg2z0n] @ 1913-1934; Welcome [t.rfcrwwtg2z0n] @ 1936-2013; Welcome [t.rfcrwwtg2z0n] @ 2016-2032; Welcome [t.rfcrwwtg2z0n] @ 2034-2077; Welcome [t.rfcrwwtg2z0n] @ 2080-2113; Welcome [t.rfcrwwtg2z0n] @ 2115-2187; Welcome [t.rfcrwwtg2z0n] @ 2190-2209; Welcome [t.rfcrwwtg2z0n] @ 2211-2326; Welcome [t.rfcrwwtg2z0n] @ 2329-2346; Welcome [t.rfcrwwtg2z0n] @ 2348-2468; Welcome [t.rfcrwwtg2z0n] @ 2471-2489; Welcome [t.rfcrwwtg2z0n] @ 2491-2583; Welcome [t.rfcrwwtg2z0n] @ 2586-2602; Welcome [t.rfcrwwtg2z0n] @ 2604-2689; Welcome [t.rfcrwwtg2z0n] @ 2692-2718; Welcome [t.rfcrwwtg2z0n] @ 2720-2783","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 1800-1953; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 1954-2012; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2013-2027; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2028-2029; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2031-2130; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2131-2191; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2192-2284; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2285-2415; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2416-2551; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2552-2665; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2666-2740; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2741-2843; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2844-2934","We welcome your feedback on any experiences you have with our advocates in the hospital. If you would like to share your experience, you may do so by completing this brief survey: www.ourresilience.org/clientevaluation.","[SECTION END]","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S02-B01","A note for caregivers","changed_or_restructured","For Caregivers","A note for caregivers...","A note for caregivers [t.bzgip2c6l1z1] @ 1-15","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 2936-2960","[SECTION START]","Caring for your teen","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S02-B02","A note for caregivers","changed_or_restructured","Your teen’s rights and options 

Your teen has strict rights to privacy, safety, and specialized medical care in the emergency room which are covered in this packet. Your teen holds autonomy over their own choices; they can choose which parts of the medical exam to complete, track their evidence kit online, choose not to speak with the police, and even consent to their own counseling. As a parent or guardian - this may feel strange. You’re used to being involved and making decisions for your teen, and that makes sense! However science shows that after an assault, restoring agency and empowerment is critical. \u000B

Your Child’s rights and options in the emergency room graphic

\u000BCheck out the ‘Your Hospital Visit’ section for more information.

Caring for yourself 

It’s normal to feel overwhelmed, but you do not have to carry this heavy burden alone. Free trauma therapy, case management, and support are available for both your teen and your family through Resilience and the YWCA RISE Children's Center. You can also reach out to legal advocates at Resilience who can explain your rights, help you get protective orders, and assist you in applying for state financial help to cover counseling and medical bills","Your teen’s rights and options

Your teen has strict rights to privacy, safety, and specialized medical care in the emergency room which are covered in this packet. Your teen holds autonomy over their own choices; they can choose which parts of the medical exam to complete, track their evidence kit online, choose not to speak with the police, and even consent to their own counseling. As a parent or guardian - this may feel strange. You’re used to being involved and making decisions for your teen, and that makes sense! However science shows that after an assault, restoring agency and empowerment is critical.

See specific rights and citations in ‘Minors Rights, Consent, and Sexual Assault’\u000BCheck out the ‘Your Hospital Visit’ section for more information.

Caring for yourself

It’s normal to feel overwhelmed, but you do not have to carry this heavy burden alone. Free trauma therapy, case management, and support are available for both your teen and your family through Resilience and the YWCA RISE Children's Center.

You can also reach out to legal advocates at Resilience who can explain your rights, help you get protective orders, and assist you in applying for state financial help to cover counseling and medical bills.","A note for caregivers [t.bzgip2c6l1z1] @ 959-990; A note for caregivers [t.bzgip2c6l1z1] @ 991-1575; A note for caregivers [t.bzgip2c6l1z1] @ 1576-1637; A note for caregivers [t.bzgip2c6l1z1] @ 1638-1704; A note for caregivers [t.bzgip2c6l1z1] @ 1705-1725; A note for caregivers [t.bzgip2c6l1z1] @ 1726-2174","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 3903-3933; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 3934-4516; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 4517-4664; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 4665-4684; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 4685-4926; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 4927-5134","The most important things to help children heal from abuse are having supportive caregivers and access to appropriate resources. Supporting your teen after an assault means prioritizing their safety and helping them regain a sense of empowerment. It is important to use honest, age-appropriate language and clearly remind them that the assault was absolutely not their fault. Let them know that experiencing a wide mix of emotions and trauma reactions is completely normal. To help your family through this, Resilience advocates are available for free to provide crisis counseling, help you talk to hospital staff or schools, assist with immediate needs, and, if needed, navigate the criminal legal process.\u000B\u000BAll survivors have the same rights and protections, but not everything here will necessarily apply to you or your teen. Everyone’s experience is different; trust yourself and whatever options feel right for you.","[SECTION END]","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S03-B01","About Resilience","changed_or_restructured","A Guide to Advocacy Services","About Resilience

Resilience is______________________________. We’re here to___________.","About Resilience and your advocate [t.q37ypxpsrr6d] @ 1-29","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 5135-5151; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 5152-5222","[SECTION START]","What is Advocacy?","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S03-B02","About Resilience","changed_or_restructured","After being sexually assaulted, you may want someone to help you with whatever happens next. You may decide that you want to go to the hospital for medical care, make a police report, and/or explore your other rights and options for healing. An advocate can help and accompany you during each step of this process by providing you, your family, and your friends with information and assistance. This help is called advocacy. Resilience is one of many rape crisis centers in Illinois with advocates who are available to help you and your loved ones. Resilience advocates provide free and confidential survivor-centered services and have experience providing support and comfort to people navigating medical and legal systems.\u000B\u000BAs a teen, you have absolute confidentiality with your Resilience advocate - that means we won’t share details of what we discuss with you with anyone else - including your parents or school. The only exception to this is if you become an immediate risk of harm to yourself or someone else.","After being sexually assaulted, you may want someone to help you with whatever happens next. You may decide that you want to go to the hospital for medical care, make a police report, and/or explore your other rights and options for healing.

An advocate can help and accompany you during each step of this process by providing you, your family, and your friends with information and assistance. This help is called advocacy. Resilience is one of many rape crisis centers in Illinois with advocates who are available to help you and your loved ones. Resilience advocates provide free and confidential survivor-centered services and have experience providing support and comfort to people navigating medical and legal systems.

Confidentiality

As a teen, you have absolute confidentiality with your Resilience advocate - that means we won’t share details of what we discuss with you with anyone else - including your parents or school. The only exception to this is if you become an immediate risk of harm to yourself or someone else.","About Resilience and your advocate [t.q37ypxpsrr6d] @ 48-1064","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 5241-5482; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 5483-5965; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 5966-5981; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 5982-6272","What is Advocacy?","How Do I Contact a Resilience Advocate?","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S03-B03","About Resilience","changed_or_restructured","If you are in the emergency room (ER) at a Resilience partner hospital, the nurse will contact an advocate to come speak to you in-person. The advocate will be able to arrange ongoing follow-up services with Resilience, if you are interested. To request follow-up services or connect with an advocate at a later date, contact Resilience directly during regular business hours, Monday through Friday, 9 a.m. to 5 p.m. at 312-443-9603.

What Does an Advocate Do?

An advocate helps the survivor understand what legal and medical options are available to them and speaks up for the survivor’s rights and wishes. With the survivor’s permission, the advocate can talk with people like hospital staff, law enforcement, and attorneys on their behalf to obtain information and make sure that the survivor’s rights and wishes are being respected.","If you are in the emergency room (ER) at a Resilience partner hospital, the nurse will contact an advocate to come speak to you in-person. The advocate will be able to arrange ongoing follow-up services with Resilience, if you are interested.

To request follow-up services or connect with an advocate at a later date, reach out to Resilience directly during regular business hours Mon through Fri, 9am to 5pm..

ourresilience.org | 312-443-9603 | info@ourresilience.org

<page break> What Does an Advocate Do?

An advocate helps the survivor understand what legal and medical options are available to them and speaks up for the survivor’s rights and wishes.

With the survivor’s permission, the advocate can talk with people like hospital staff, law enforcement, and attorneys on their behalf to obtain information and make sure that the survivor’s rights and wishes are being respected.","About Resilience and your advocate [t.q37ypxpsrr6d] @ 1105-1538; About Resilience and your advocate [t.q37ypxpsrr6d] @ 1539-1564; About Resilience and your advocate [t.q37ypxpsrr6d] @ 1565-1940","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 6313-6555; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 6556-6723; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 6724-6781; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 6782-6820; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 6821-6967; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 6968-7196","How Do I Contact a Resilience Advocate?","What Does an Advocate Not Do?","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S03-B04","About Resilience","changed_or_restructured","An advocate supports survivors in many ways, but there are also certain things that advocates cannot do. Advocates are not lawyers and cannot give legal advice or representation. Advocates do not investigate the case, nor do they provide testimony.","An advocate supports survivors in many ways, but there are also certain things that advocates cannot do.

Advocates are not lawyers and cannot give legal advice or representation.

Advocates do not investigate the case, nor do they provide testimony.","About Resilience and your advocate [t.q37ypxpsrr6d] @ 1971-2219","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 7227-7331; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 7332-7405; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 7406-7475","What Does an Advocate Not Do?","An advocate does not provide therapeutic services. As part of helping the survivor through medical and legal processes, the advocate will talk to the survivor about their feelings; however, if a survivor wants additional counseling in their emotional recovery, the advocate will refer them to a Resilience trauma therapist.","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
"S03-B05","About Resilience","changed_or_restructured","Resilience advocates have referral options for free or low-cost legal counsel. To request help accessing your legal rights and options, please call 312-443-9603 during regular business hours, Monday through Friday, 9 a.m. to 5 p.m.","Resilience advocates have referral options for free or low-cost legal counsel.

To request help accessing your legal rights and options, please reach out to Resilience directly during regular business hours Mon through Fri, 9am to 5pm.

ourresilience.org | 312-443-9603 | info@ourresilience.org","About Resilience and your advocate [t.q37ypxpsrr6d] @ 3074-3305","Suggestions - What you should know [t.nn8dmo3ghr8e] @ 8330-8408; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 8409-8564; Suggestions - What you should know [t.nn8dmo3ghr8e] @ 8565-8622","Resilience legal advocates provide information, accompaniment, and emotional support to survivors in accessing their legal rights and options, which are listed below. Advocates may act as liaisons with police officers, sex crimes detectives, and the State’s Attorney’s Office to ensure that proper charges are pursued and filed. They may also support survivors in obtaining protective orders, applying for Crime Victim Compensation, and accessing school- or employment-based accommodations and survivor-based immigration options.","[SECTION END]","ALtnJHxJzz28bHOAk-CHLQwpsGWMVLejh99h1rcRLJf280LGm72weISIx_C4suQGDnKGpuP7eTxOQhNgwrMXLIgsgZ6tZKME4WGM66kn","ALtnJHwceQF38ZAgAmDj2op6BH8bxjGSWx5hwrncfpHuB8x6SjRlgw26s9JPm4gTk_AljVRiQ540L0IOyVnRa4XcotFTE9JwEtfDmh6m","Section-aware exact paragraph diff. Each side is copied verbatim from the Google Docs connector; paragraph separators are inserted as blank lines and source control characters are escaped. Blocks are bounded by paragraphs that match exactly. No semantic or legal/medical interpretation."
