"Section","Change","Original text","Suggested text","Block ID"
"Opening, letter, and contents","Changed / restructured","Teen Information Packet 2026

If you read one thing, read this

Under Illinois law, you will not be directly billed for medical care related to your assault.

You might be feeling a lot of emotions - anger, sadness, relief - or maybe even just frozen. They’re all valid - and there are practical healthy ways to process feelings. 

You’re the boss of your own body, and you have rights that back this up 

We’re Resilience, and we’ve got your back.
","[Cover]

What you need to know

Information Packet

ourresilience.org

2026

[Summary Graphic]

You are the boss of your own body and care.

You have rights as a teen, we’ll walk you through them.

We maintain absolute confidentiality with you.

You may be feeling a lot of emotions.

They’re all valid and there are practical and healthy ways to process them. 
We’re here to help.

You will not be directly billed for medical care related to your assault.

This is the law in Illinois.

We are an organization called Resilience.

We’ve got your back. 

The only exception to confidentiality is if you are in immediate danger of hurting yourself or others.

[Letter]","S01-B01"
"Opening, letter, and contents","Changed / restructured","Resilience is an independent, not-for-profit organization that offers sexual assault survivors free and confidential legal advocacy, medical advocacy, and trauma therapy services in English and Spanish. For more information or to request services, you may visit our website at ourresilience.org, email us at info@ourresilience.org, or call us at 312-443-9603. Please note that Resilience is not a hotline and service requests will be responded to during regular business hours, Monday through Friday, 9 a.m. to 5 p.m.","However you choose to heal, we support you and wish you the best.

Sincerely,
Resilience

Resilience is an independent, not-for-profit organization that offers sexual assault survivors free and confidential legal advocacy, medical advocacy, and trauma therapy services in English and Spanish.","S01-B02"
"Opening, letter, and contents","Changed / restructured","However you choose to heal, we support you and wish you the best.

Sincerely,

Resilience

What’s Inside

ASSET DETAILS

What

Caregiver Information

Information and resources for caretakers of teen survivors of sexual assault.

About Resilience

Who is Resilience, and what is an advocate?

Navigating Emotions after assault

Understanding your feelings (and what to do with them) after an assault.

Your Hospital Visit

Your legal rights in the ER, information on billing, medications, pregnancy, the evidence collection kit, and more.

The Legal Process

What does the criminal legal process look like, accessing restraining orders,navigating immigration questions, and more.

At school and work

Your rights and how to talk (if you want!) about your assault with your school or workplace.

Housing and DCFS

What your options are if you’re in need of safe housing - and what DCFS is all about.

FAQs and Related Resources

Questions that teens like you ask, and resources to learn more.","Reach out for more information or to request services. Please note that this isn’t a hotline and we will respond to messages Mon through Fri, 9am to 5pm.

ourresilience.org | 312-443-9603 | info@ourresilience.org

In this packet

.

A Note for Caregivers
Information and resources for caretakers of teen survivors of sexual assault.

About Resilience
Who is Resilience, and what is an advocate?

Navigating Emotions
Understanding your feelings (and what to do with them) after an assault.

Hospital Visit
Your legal rights in the ER, information on billing, medications, pregnancy, the evidence collection kit, and more.

Legal Process
What does the criminal legal process look like, accessing restraining orders, navigating immigration questions, and more.

School and work
Your rights and how to talk (only if you want!) about your assault with your school or workplace.

Minors Rights, Consent, and Sexual Assault
______________________________.

Housing and DCFS
What your options are if you’re in need of safe housing - and what DCFS is all about.

FAQs and Related Resources
Questions that teens like you ask, and resources to learn more.","S01-B03"
"A note for caregivers","Changed / restructured","For Caregivers","A note for caregivers...","S02-B01"
"A note for caregivers","Changed / restructured","Your teen’s rights and options 

Your teen has strict rights to privacy, safety, and specialized medical care in the emergency room which are covered in this packet. Your teen holds autonomy over their own choices; they can choose which parts of the medical exam to complete, track their evidence kit online, choose not to speak with the police, and even consent to their own counseling. As a parent or guardian - this may feel strange. You’re used to being involved and making decisions for your teen, and that makes sense! However science shows that after an assault, restoring agency and empowerment is critical. 


Your Child’s rights and options in the emergency room graphic


Check out the ‘Your Hospital Visit’ section for more information.

Caring for yourself 

It’s normal to feel overwhelmed, but you do not have to carry this heavy burden alone. Free trauma therapy, case management, and support are available for both your teen and your family through Resilience and the YWCA RISE Children's Center. You can also reach out to legal advocates at Resilience who can explain your rights, help you get protective orders, and assist you in applying for state financial help to cover counseling and medical bills","Your teen’s rights and options

Your teen has strict rights to privacy, safety, and specialized medical care in the emergency room which are covered in this packet. Your teen holds autonomy over their own choices; they can choose which parts of the medical exam to complete, track their evidence kit online, choose not to speak with the police, and even consent to their own counseling. As a parent or guardian - this may feel strange. You’re used to being involved and making decisions for your teen, and that makes sense! However science shows that after an assault, restoring agency and empowerment is critical.

See specific rights and citations in ‘Minors Rights, Consent, and Sexual Assault’
Check out the ‘Your Hospital Visit’ section for more information.

Caring for yourself

It’s normal to feel overwhelmed, but you do not have to carry this heavy burden alone. Free trauma therapy, case management, and support are available for both your teen and your family through Resilience and the YWCA RISE Children's Center.

You can also reach out to legal advocates at Resilience who can explain your rights, help you get protective orders, and assist you in applying for state financial help to cover counseling and medical bills.","S02-B02"
"About Resilience","Changed / restructured","A Guide to Advocacy Services","About Resilience

Resilience is______________________________. We’re here to___________.","S03-B01"
"About Resilience","Changed / restructured","After being sexually assaulted, you may want someone to help you with whatever happens next. You may decide that you want to go to the hospital for medical care, make a police report, and/or explore your other rights and options for healing. An advocate can help and accompany you during each step of this process by providing you, your family, and your friends with information and assistance. This help is called advocacy. Resilience is one of many rape crisis centers in Illinois with advocates who are available to help you and your loved ones. Resilience advocates provide free and confidential survivor-centered services and have experience providing support and comfort to people navigating medical and legal systems.

As a teen, you have absolute confidentiality with your Resilience advocate - that means we won’t share details of what we discuss with you with anyone else - including your parents or school. The only exception to this is if you become an immediate risk of harm to yourself or someone else.","After being sexually assaulted, you may want someone to help you with whatever happens next. You may decide that you want to go to the hospital for medical care, make a police report, and/or explore your other rights and options for healing.

An advocate can help and accompany you during each step of this process by providing you, your family, and your friends with information and assistance. This help is called advocacy. Resilience is one of many rape crisis centers in Illinois with advocates who are available to help you and your loved ones. Resilience advocates provide free and confidential survivor-centered services and have experience providing support and comfort to people navigating medical and legal systems.

Confidentiality

As a teen, you have absolute confidentiality with your Resilience advocate - that means we won’t share details of what we discuss with you with anyone else - including your parents or school. The only exception to this is if you become an immediate risk of harm to yourself or someone else.","S03-B02"
"About Resilience","Changed / restructured","If you are in the emergency room (ER) at a Resilience partner hospital, the nurse will contact an advocate to come speak to you in-person. The advocate will be able to arrange ongoing follow-up services with Resilience, if you are interested. To request follow-up services or connect with an advocate at a later date, contact Resilience directly during regular business hours, Monday through Friday, 9 a.m. to 5 p.m. at 312-443-9603.

What Does an Advocate Do?

An advocate helps the survivor understand what legal and medical options are available to them and speaks up for the survivor’s rights and wishes. With the survivor’s permission, the advocate can talk with people like hospital staff, law enforcement, and attorneys on their behalf to obtain information and make sure that the survivor’s rights and wishes are being respected.","If you are in the emergency room (ER) at a Resilience partner hospital, the nurse will contact an advocate to come speak to you in-person. The advocate will be able to arrange ongoing follow-up services with Resilience, if you are interested.

To request follow-up services or connect with an advocate at a later date, reach out to Resilience directly during regular business hours Mon through Fri, 9am to 5pm..

ourresilience.org | 312-443-9603 | info@ourresilience.org

<page break> What Does an Advocate Do?

An advocate helps the survivor understand what legal and medical options are available to them and speaks up for the survivor’s rights and wishes.

With the survivor’s permission, the advocate can talk with people like hospital staff, law enforcement, and attorneys on their behalf to obtain information and make sure that the survivor’s rights and wishes are being respected.","S03-B03"
"About Resilience","Changed / restructured","An advocate supports survivors in many ways, but there are also certain things that advocates cannot do. Advocates are not lawyers and cannot give legal advice or representation. Advocates do not investigate the case, nor do they provide testimony.","An advocate supports survivors in many ways, but there are also certain things that advocates cannot do.

Advocates are not lawyers and cannot give legal advice or representation.

Advocates do not investigate the case, nor do they provide testimony.","S03-B04"
"About Resilience","Changed / restructured","Resilience advocates have referral options for free or low-cost legal counsel. To request help accessing your legal rights and options, please call 312-443-9603 during regular business hours, Monday through Friday, 9 a.m. to 5 p.m.","Resilience advocates have referral options for free or low-cost legal counsel.

To request help accessing your legal rights and options, please reach out to Resilience directly during regular business hours Mon through Fri, 9am to 5pm.

ourresilience.org | 312-443-9603 | info@ourresilience.org","S03-B05"
"Navigating Emotions","Changed / restructured","You might be feeling….

Words/experiences/thoughts

Angry, numb, happy, confused, sad, vengeful, scared, frozen, anxious, tired, overwhelmed, energetic, etc


Others feel that way too

quotes/stories?

Self Care Strategies and coping

First things first. You can cope with and recover from trauma. 

Actionable tips","Navigating Emotions

__________________________________________.

Right now, you might be feeling

[this picture should be inline]

Others have felt that way too...

Here are some things that have helped them...

First things first. You can cope with and recover from trauma.","S04-B01"
"Navigating Emotions","Changed / restructured","Resilience has trained, professional clinical staff that provide free individual, couples, and family trauma therapy for adolescent and adult victims/ssurvivors of sexual violence over the age of 12 as well as their loved ones. Please note that there may be a waitlist for trauma therapy services. Support groups are also available. For individuals ages 11 years or younger, Resilience can make a referral to the YWCA’s trauma therapy program.","Resilience has trained, professional clinical staff that provide free individual, couples, and family trauma therapy for adolescent and adult victims/survivors of sexual violence over the age of 12 as well as their loved ones. Please note that there may be a waitlist for trauma therapy services. Support groups are also available. For individuals ages 11 years or younger, Resilience can make a referral to the YWCA’s trauma therapy program.

To request trauma therapy services, please reach out to Resilience directly during regular business hours Mon through Fri, 9am to 5pm.

ourresilience.org | 312-443-9603 | info@ourresilience.org","S04-B02"
"Hospital Visit","Changed / restructured","Your legal rights in Illinois

SASETA

Illinois law (SASETA, 410 ILCS 70) requires that hospitals either provide treatment for or transfer sexual assault patients. For those who elect to provide treatment to sexual assault survivors, they are required to offer the following for the first seven days post-assault (72 hours for survivors age 12 and younger):

Minor’s rights in a hospital by age","Hospital Visit

You’re at the hospital for________________________________.

Your rights at the hospital

Illinois law (SASETA, 410 ILCS 70) requires that hospitals either provide treatment for or transfer sexual assault patients. For those who elect to provide treatment to sexual assault survivors, they are required to offer the following services for the first seven days post-assault (72 hours for survivors age 12 and younger).

The hospital is required to offer you:","S05-B01"
"Hospital Visit","Changed / restructured","Hospitals must provide a qualified medical provider (QMP) to complete your medical forensic examination. A QMP is a board-certified child abuse pediatrician, board-eligible child abuse pediatrician, a sexual assault forensic examiner, or a sexual assault nurse examiner who has access to photo documentation tools, and who participates in peer review. If a patient is not offered services by a QMP, they have the right to file a complaint with the Illinois Department of Public Health. An advocate can assist with this process, as requested.

Evidence Collection (known as a rape kit or Illinois State Police Sexual Assault Evidence Collection Kit (ISPECK)

There are two steps to consenting to evidence collection: (1) consent to the collection of evidence, and (2) consent to either holding the kit in storage or releasing the evidence to law enforcement for testing. A patient may choose to have an ISPECK collected and may decide later whether or not they want it tested. Law enforcement must hold the ISPECK for 10 years or until the patient’s 28th birthday, whichever happens latest, while the patient decides whether or not to have the evidence tested. Anyone at any age can consent to treatment and evidence collection related to a sexual assault. A minor under 13 years of age needs a parent, legal guardian, or healthcare power of attorney to release the kit for testing and with the assent of the sexual assault survivor. No person, regardless of age, should be forced to complete the evidence collection process. People with disabilities do not need a guardian present to consent to medical treatment, evidence collection, or release of evidence for testing. If a survivor is unable to consent to the release of evidence for testing and their parent, legal guardian, and/or healthcare power of attorney refuse to do so, the State's Attorney or Attorney General can petition the court to authorize release for testing. No person with a disability should ever be forced to complete evidence collection.","Hospitals must provide a qualified medical provider (QMP) to complete your medical forensic examination. A QMP is a board-certified child abuse pediatrician, board-eligible child abuse pediatrician, a sexual assault forensic examiner, or a sexual assault nurse examiner who has access to photo documentation tools, and who participates in peer review. If a patient is not offered services by a QMP, they have the right to file a complaint with the Illinois Department of Public Health. A Resilience advocate can assist with this process, if requested.

Evidence Collection

Known as a rape kit or Illinois State Police Sexual Assault Evidence Collection Kit (ISPECK). Evidence collection is optional and may assist in a criminal or child protection investigation. There are two steps to consenting to evidence collection:

Consent to the collection of evidence

Consent to either holding the kit in storage or releasing the evidence to law enforcement for testing.

A patient may choose to have an ISPECK collected and may decide later whether or not they want it tested.","S05-B02"
